VOLTAGE=-57.169375286038765, I_K=-0.000002934108467, I_L=-0.641765725471277, I_Na=0.047316776991502, I_T=0.125472336157229, H=0.982044190630261, R=0.001170680810120
VOLTAGE=-57.174064178270129, I_K=-0.000002932253824, I_L=-0.641531235698062, I_Na=0.047228956558126, I_T=0.125415988257153, H=0.982045893123260, R=0.001170747402586
VOLTAGE=-57.178752163954428, I_K=-0.000002930371089, I_L=-0.641296791086494, I_Na=0.047141314862504, I_T=0.125359838164948, H=0.982047640053480, R=0.001170815820460
VOLTAGE=-57.183439239786075, I_K=-0.000002928460409, I_L=-0.641062391802279, I_Na=0.047053851572884, I_T=0.125303885525239, H=0.982049431270514, R=0.001170886062449
VOLTAGE=-57.188125402467989, I_K=-0.000002926521930, I_L=-0.640828038010696, I_Na=0.046966566357844, I_T=0.125248129983133, H=0.982051266624257, R=0.001170958127268
VOLTAGE=-57.192810648711607, I_K=-0.000002924555799, I_L=-0.640593729876601, I_Na=0.046879458886294, I_T=0.125192571184216, H=0.982053145964908, R=0.001171032013631
VOLTAGE=-57.197494975236850, I_K=-0.000002922562162, I_L=-0.640359467564420, I_Na=0.046792528827479, I_T=0.125137208774551, H=0.982055069142967, R=0.001171107720254
VOLTAGE=-57.202178378772125, I_K=-0.000002920541166, I_L=-0.640125251238158, I_Na=0.046705775850974, I_T=0.125082042400680, H=0.982057036009239, R=0.001171185245858
VOLTAGE=-57.206860856054305, I_K=-0.000002918492959, I_L=-0.639891081061394, I_Na=0.046619199626695, I_T=0.125027071709624, H=0.982059046414827, R=0.001171264589162
VOLTAGE=-57.211542403828716, I_K=-0.000002916417687, I_L=-0.639656957197285, I_Na=0.046532799824891, I_T=0.124972296348882, H=0.982061100211139, R=0.001171345748892
VOLTAGE=-57.216223018849128, I_K=-0.000002914315499, I_L=-0.639422879808564, I_Na=0.046446576116153, I_T=0.124917715966429, H=0.982063197249883, R=0.001171428723771
VOLTAGE=-57.220902697877747, I_K=-0.000002912186541, I_L=-0.639188849057544, I_Na=0.046360528171411, I_T=0.124863330210719, H=0.982065337383068, R=0.001171513512528
VOLTAGE=-57.225581437685193, I_K=-0.000002910030961, I_L=-0.638954865106113, I_Na=0.046274655661937, I_T=0.124809138730682, H=0.982067520463005, R=0.001171600113893
VOLTAGE=-57.230259235050490, I_K=-0.000002907848907, I_L=-0.638720928115740, I_Na=0.046188958259345, I_T=0.124755141175726, H=0.982069746342302, R=0.001171688526598
VOLTAGE=-57.234936086761053, I_K=-0.000002905640526, I_L=-0.638487038247476, I_Na=0.046103435635593, I_T=0.124701337195734, H=0.982072014873872, R=0.001171778749377
VOLTAGE=-57.239611989612690, I_K=-0.000002903405967, I_L=-0.638253195661947, I_Na=0.046018087462987, I_T=0.124647726441067, H=0.982074325910923, R=0.001171870780966
VOLTAGE=-57.244286940409573, I_K=-0.000002901145378, I_L=-0.638019400519366, I_Na=0.045932913414177, I_T=0.124594308562560, H=0.982076679306966, R=0.001171964620103
VOLTAGE=-57.248960935964220, I_K=-0.000002898858906, I_L=-0.637785652979521, I_Na=0.045847913162164, I_T=0.124541083211525, H=0.982079074915810, R=0.001172060265530
VOLTAGE=-57.253633973097507, I_K=-0.000002896546701, I_L=-0.637551953201789, I_Na=0.045763086380296, I_T=0.124488050039749, H=0.982081512591563, R=0.001172157715989
VOLTAGE=-57.258306048638630, I_K=-0.000002894208909, I_L=-0.637318301345125, I_Na=0.045678432742275, I_T=0.124435208699495, H=0.982083992188631, R=0.001172256970223
VOLTAGE=-57.262977159425112, I_K=-0.000002891845680, I_L=-0.637084697568069, I_Na=0.045593951922153, I_T=0.124382558843499, H=0.982086513561719, R=0.001172358026982
VOLTAGE=-57.267647302302777, I_K=-0.000002889457163, I_L=-0.636851142028744, I_Na=0.045509643594336, I_T=0.124330100124973, H=0.982089076565829, R=0.001172460885012
VOLTAGE=-57.272316474125752, I_K=-0.000002887043504, I_L=-0.636617634884861, I_Na=0.045425507433584, I_T=0.124277832197604, H=0.982091681056263, R=0.001172565543065
VOLTAGE=-57.276984671756431, I_K=-0.000002884604854, I_L=-0.636384176293712, I_Na=0.045341543115014, I_T=0.124225754715550, H=0.982094326888618, R=0.001172671999895
VOLTAGE=-57.281651892065490, I_K=-0.000002882141360, I_L=-0.636150766412178, I_Na=0.045257750314100, I_T=0.124173867333446, H=0.982097013918789, R=0.001172780254256
VOLTAGE=-57.286318131931857, I_K=-0.000002879653171, I_L=-0.635917405396726, I_Na=0.045174128706675, I_T=0.124122169706399, H=0.982099742002968, R=0.001172890304906
VOLTAGE=-57.290983388242708, I_K=-0.000002877140435, I_L=-0.635684093403407, I_Na=0.045090677968930, I_T=0.124070661489990, H=0.982102510997643, R=0.001173002150603
VOLTAGE=-57.295647657893440, I_K=-0.000002874603302, I_L=-0.635450830587865, I_Na=0.045007397777419, I_T=0.124019342340270, H=0.982105320759598, R=0.001173115790110
VOLTAGE=-57.300310937787685, I_K=-0.000002872041920, I_L=-0.635217617105328, I_Na=0.044924287809057, I_T=0.123968211913767, H=0.982108171145914, R=0.001173231222189
VOLTAGE=-57.304973224837269, I_K=-0.000002869456437, I_L=-0.634984453110616, I_Na=0.044841347741121, I_T=0.123917269867478, H=0.982111062013965, R=0.001173348445607
VOLTAGE=-57.309634515962216, I_K=-0.000002866847002, I_L=-0.634751338758137, I_Na=0.044758577251254, I_T=0.123866515858874, H=0.982113993221424, R=0.001173467459130
